frequency,unit,nuts2_code,year,gdp_value,status
A,MIO_EUR,AT21,2000,12522.22,
A,MIO_EUR,AT21,2001,12846.04,
A,MIO_EUR,AT21,2002,13168.3,
A,MIO_EUR,AT21,2003,13493.37,
A,MIO_EUR,AT21,2004,14103.42,
A,MIO_EUR,AT21,2005,14569.83,
A,MIO_EUR,AT21,2006,15395.25,
A,MIO_EUR,AT21,2007,16533.38,
A,MIO_EUR,AT21,2008,17061.29,
A,MIO_EUR,AT21,2009,16262.06,
A,MIO_EUR,AT21,2010,16743.96,
A,MIO_EUR,AT21,2011,17560.32,
A,MIO_EUR,AT21,2012,17862.94,
A,MIO_EUR,AT21,2013,17915.47,
A,MIO_EUR,AT21,2014,18654.09,
A,MIO_EUR,AT21,2015,18935.65,
A,MIO_EUR,AT21,2016,19342.28,
A,MIO_EUR,AT21,2017,20107.36,
A,MIO_EUR,AT21,2018,21056.21,
A,MIO_EUR,AT21,2019,21722.58,
A,MIO_EUR,AT21,2020,21178.66,
A,MIO_EUR,AT21,2021,22568.48,
A,MIO_EUR,AT21,2022,25584.97,
A,MIO_EUR,AT21,2023,28279.81,
A,MIO_EUR,AT21,2024,28269.73,
A,MIO_EUR,AT22,2000,27434.06,
A,MIO_EUR,AT22,2001,28375.24,
A,MIO_EUR,AT22,2002,28723.08,
A,MIO_EUR,AT22,2003,29768.51,
A,MIO_EUR,AT22,2004,31367.25,
A,MIO_EUR,AT22,2005,32550.24,
A,MIO_EUR,AT22,2006,34446.42,
A,MIO_EUR,AT22,2007,36855.76,
A,MIO_EUR,AT22,2008,37912.73,
A,MIO_EUR,AT22,2009,36842.7,
A,MIO_EUR,AT22,2010,37703.98,
A,MIO_EUR,AT22,2011,39825.12,
A,MIO_EUR,AT22,2012,41349.81,
A,MIO_EUR,AT22,2013,41298.44,
A,MIO_EUR,AT22,2014,42745.58,
A,MIO_EUR,AT22,2015,43716.71,
A,MIO_EUR,AT22,2016,45702.77,
A,MIO_EUR,AT22,2017,47880.87,
A,MIO_EUR,AT22,2018,49180.94,
A,MIO_EUR,AT22,2019,51158.67,
A,MIO_EUR,AT22,2020,48992.47,
A,MIO_EUR,AT22,2021,52124.55,
A,MIO_EUR,AT22,2022,57562.01,
A,MIO_EUR,AT22,2023,61170.79,
A,MIO_EUR,AT22,2024,63923.81,
A,MIO_EUR,AT31,2000,34987.54,
A,MIO_EUR,AT31,2001,36845.61,
A,MIO_EUR,AT31,2002,37574.84,
A,MIO_EUR,AT31,2003,38815.97,
A,MIO_EUR,AT31,2004,40280.4,
A,MIO_EUR,AT31,2005,42805.62,
A,MIO_EUR,AT31,2006,45092.34,
A,MIO_EUR,AT31,2007,47961.39,
A,MIO_EUR,AT31,2008,50197.66,
A,MIO_EUR,AT31,2009,48486.23,
A,MIO_EUR,AT31,2010,49704.74,
A,MIO_EUR,AT31,2011,52904.61,
A,MIO_EUR,AT31,2012,54152.01,
A,MIO_EUR,AT31,2013,55510.36,
A,MIO_EUR,AT31,2014,57092.72,
A,MIO_EUR,AT31,2015,59137.46,
A,MIO_EUR,AT31,2016,61092.38,
A,MIO_EUR,AT31,2017,63441.65,
A,MIO_EUR,AT31,2018,66564.8,
A,MIO_EUR,AT31,2019,68767.6,
A,MIO_EUR,AT31,2020,66531.34,
A,MIO_EUR,AT31,2021,71108.47,
A,MIO_EUR,AT31,2022,77363.0,
A,MIO_EUR,AT31,2023,81291.54,
A,MIO_EUR,AT31,2024,82537.85,
A,MIO_EUR,AT32,2000,14957.82,
A,MIO_EUR,AT32,2001,15413.9,
A,MIO_EUR,AT32,2002,15849.73,
A,MIO_EUR,AT32,2003,16380.41,
A,MIO_EUR,AT32,2004,17258.22,
A,MIO_EUR,AT32,2005,18108.73,
A,MIO_EUR,AT32,2006,19180.14,
A,MIO_EUR,AT32,2007,20551.2,
A,MIO_EUR,AT32,2008,20927.65,
A,MIO_EUR,AT32,2009,20458.18,
A,MIO_EUR,AT32,2010,21555.73,
A,MIO_EUR,AT32,2011,22543.52,
A,MIO_EUR,AT32,2012,23424.91,
A,MIO_EUR,AT32,2013,23326.69,
A,MIO_EUR,AT32,2014,23829.41,
A,MIO_EUR,AT32,2015,24928.54,
A,MIO_EUR,AT32,2016,26099.3,
A,MIO_EUR,AT32,2017,26911.47,
A,MIO_EUR,AT32,2018,27984.39,
A,MIO_EUR,AT32,2019,29028.88,
A,MIO_EUR,AT32,2020,28079.62,
A,MIO_EUR,AT32,2021,29439.53,
A,MIO_EUR,AT32,2022,34321.2,
A,MIO_EUR,AT32,2023,36156.39,
A,MIO_EUR,AT32,2024,37662.53,
A,MIO_EUR,AT33,2000,17803.83,
A,MIO_EUR,AT33,2001,18613.1,
A,MIO_EUR,AT33,2002,19198.44,
A,MIO_EUR,AT33,2003,19793.78,
A,MIO_EUR,AT33,2004,20306.36,
A,MIO_EUR,AT33,2005,21837.86,
A,MIO_EUR,AT33,2006,23056.99,
A,MIO_EUR,AT33,2007,24186.52,
A,MIO_EUR,AT33,2008,24618.06,
A,MIO_EUR,AT33,2009,24598.13,
A,MIO_EUR,AT33,2010,25182.82,
A,MIO_EUR,AT33,2011,26329.8,
A,MIO_EUR,AT33,2012,27460.66,
A,MIO_EUR,AT33,2013,28235.85,
A,MIO_EUR,AT33,2014,28847.25,
A,MIO_EUR,AT33,2015,30368.65,
A,MIO_EUR,AT33,2016,31517.75,
A,MIO_EUR,AT33,2017,32602.57,
A,MIO_EUR,AT33,2018,34043.59,
A,MIO_EUR,AT33,2019,35333.41,
A,MIO_EUR,AT33,2020,33361.16,
A,MIO_EUR,AT33,2021,33876.81,
A,MIO_EUR,AT33,2022,39581.9,
A,MIO_EUR,AT33,2023,42713.9,
A,MIO_EUR,AT33,2024,44805.15,
A,MIO_EUR,AT34,2000,9593.23,
A,MIO_EUR,AT34,2001,9883.03,
A,MIO_EUR,AT34,2002,10185.19,
A,MIO_EUR,AT34,2003,10355.48,
A,MIO_EUR,AT34,2004,10854.31,
A,MIO_EUR,AT34,2005,11433.89,
A,MIO_EUR,AT34,2006,12084.73,
A,MIO_EUR,AT34,2007,12845.34,
A,MIO_EUR,AT34,2008,13201.65,
A,MIO_EUR,AT34,2009,13056.84,
A,MIO_EUR,AT34,2010,13347.29,
A,MIO_EUR,AT34,2011,14123.55,
A,MIO_EUR,AT34,2012,14396.01,
A,MIO_EUR,AT34,2013,15023.55,
A,MIO_EUR,AT34,2014,15657.56,
A,MIO_EUR,AT34,2015,16860.71,
A,MIO_EUR,AT34,2016,16973.61,
A,MIO_EUR,AT34,2017,17769.92,
A,MIO_EUR,AT34,2018,19134.15,
A,MIO_EUR,AT34,2019,18732.98,
A,MIO_EUR,AT34,2020,18188.87,
A,MIO_EUR,AT34,2021,20568.34,
A,MIO_EUR,AT34,2022,23935.91,
A,MIO_EUR,AT34,2023,22354.03,
A,MIO_EUR,AT34,2024,23213.53,
A,MIO_EUR,ATZZ,2000,108.77,
A,MIO_EUR,ATZZ,2001,109.7,
A,MIO_EUR,ATZZ,2002,111.03,
A,MIO_EUR,ATZZ,2003,109.75,
A,MIO_EUR,ATZZ,2004,114.52,
A,MIO_EUR,ATZZ,2005,117.06,
A,MIO_EUR,ATZZ,2006,115.51,
A,MIO_EUR,ATZZ,2007,114.41,
A,MIO_EUR,ATZZ,2008,126.64,
A,MIO_EUR,ATZZ,2009,132.57,
A,MIO_EUR,ATZZ,2010,136.0,
A,MIO_EUR,ATZZ,2011,133.74,
A,MIO_EUR,ATZZ,2012,136.29,
A,MIO_EUR,ATZZ,2013,130.58,
A,MIO_EUR,ATZZ,2014,130.48,
A,MIO_EUR,ATZZ,2015,136.23,
A,MIO_EUR,ATZZ,2016,138.47,
A,MIO_EUR,ATZZ,2017,138.42,
A,MIO_EUR,ATZZ,2018,142.58,
A,MIO_EUR,ATZZ,2019,143.59,
A,MIO_EUR,ATZZ,2020,141.84,
A,MIO_EUR,ATZZ,2021,145.67,
A,MIO_EUR,ATZZ,2022,152.86,
A,MIO_EUR,ATZZ,2023,161.27,
A,MIO_EUR,ATZZ,2024,164.86,
A,MIO_EUR,BE10,2003,54681.25,
A,MIO_EUR,BE10,2004,57619.35,
A,MIO_EUR,BE10,2005,59500.55,
A,MIO_EUR,BE10,2006,62125.09,
A,MIO_EUR,BE10,2007,64604.73,
A,MIO_EUR,BE10,2008,65375.89,
A,MIO_EUR,BE10,2009,65449.0,b
A,MIO_EUR,BE10,2010,68356.36,
A,MIO_EUR,BE10,2011,70768.13,
A,MIO_EUR,BE10,2012,73023.93,
A,MIO_EUR,BE10,2013,73315.82,
A,MIO_EUR,BE10,2014,75628.37,
A,MIO_EUR,BE10,2015,78053.56,
A,MIO_EUR,BE10,2016,79185.93,
A,MIO_EUR,BE10,2017,81785.97,
A,MIO_EUR,BE10,2018,83415.52,
A,MIO_EUR,BE10,2019,87369.66,
A,MIO_EUR,BE10,2020,83321.85,
A,MIO_EUR,BE10,2021,89494.83,
A,MIO_EUR,BE10,2022,96651.18,
A,MIO_EUR,BE10,2023,103568.87,
A,MIO_EUR,BE10,2024,108152.97,p
A,MIO_EUR,BE21,2003,52247.68,
A,MIO_EUR,BE21,2004,55681.61,
A,MIO_EUR,BE21,2005,59450.38,
A,MIO_EUR,BE21,2006,61495.13,
A,MIO_EUR,BE21,2007,65422.79,
A,MIO_EUR,BE21,2008,67004.96,
A,MIO_EUR,BE21,2009,64910.41,b
A,MIO_EUR,BE21,2010,67753.39,
A,MIO_EUR,BE21,2011,71215.3,
A,MIO_EUR,BE21,2012,72925.28,
A,MIO_EUR,BE21,2013,74371.24,
A,MIO_EUR,BE21,2014,76300.51,
A,MIO_EUR,BE21,2015,78966.51,
A,MIO_EUR,BE21,2016,81567.44,
A,MIO_EUR,BE21,2017,84264.3,
A,MIO_EUR,BE21,2018,87685.58,
A,MIO_EUR,BE21,2019,91305.71,
A,MIO_EUR,BE21,2020,89317.74,
A,MIO_EUR,BE21,2021,96690.57,
A,MIO_EUR,BE21,2022,109773.48,
A,MIO_EUR,BE21,2023,116240.75,
A,MIO_EUR,BE21,2024,117766.57,p
A,MIO_EUR,BE22,2003,18221.31,
A,MIO_EUR,BE22,2004,18762.34,
A,MIO_EUR,BE22,2005,19244.75,
A,MIO_EUR,BE22,2006,20541.35,
A,MIO_EUR,BE22,2007,21814.43,
A,MIO_EUR,BE22,2008,22647.58,
A,MIO_EUR,BE22,2009,21221.78,b
A,MIO_EUR,BE22,2010,22200.23,
A,MIO_EUR,BE22,2011,23479.2,
A,MIO_EUR,BE22,2012,23766.39,
A,MIO_EUR,BE22,2013,24293.29,
A,MIO_EUR,BE22,2014,25045.96,
A,MIO_EUR,BE22,2015,25326.09,
A,MIO_EUR,BE22,2016,26188.47,
A,MIO_EUR,BE22,2017,27382.67,
A,MIO_EUR,BE22,2018,28397.82,
A,MIO_EUR,BE22,2019,29396.34,
A,MIO_EUR,BE22,2020,28517.48,
A,MIO_EUR,BE22,2021,31344.81,
A,MIO_EUR,BE22,2022,35146.55,
A,MIO_EUR,BE22,2023,37264.11,
A,MIO_EUR,BE22,2024,38230.78,p
A,MIO_EUR,BE23,2003,33095.91,
A,MIO_EUR,BE23,2004,34752.22,
A,MIO_EUR,BE23,2005,35993.11,
A,MIO_EUR,BE23,2006,38106.79,
A,MIO_EUR,BE23,2007,40732.43,
A,MIO_EUR,BE23,2008,41429.03,
A,MIO_EUR,BE23,2009,41665.99,b
A,MIO_EUR,BE23,2010,43336.99,
A,MIO_EUR,BE23,2011,45545.91,
A,MIO_EUR,BE23,2012,46224.05,
A,MIO_EUR,BE23,2013,47417.16,
A,MIO_EUR,BE23,2014,48426.4,
A,MIO_EUR,BE23,2015,50332.39,
A,MIO_EUR,BE23,2016,52035.61,
A,MIO_EUR,BE23,2017,54430.85,
A,MIO_EUR,BE23,2018,55909.47,
A,MIO_EUR,BE23,2019,58149.08,
A,MIO_EUR,BE23,2020,56719.42,
A,MIO_EUR,BE23,2021,63479.66,
A,MIO_EUR,BE23,2022,71105.35,
A,MIO_EUR,BE23,2023,75592.12,
A,MIO_EUR,BE23,2024,78272.44,p
A,MIO_EUR,BE24,2003,28543.06,
A,MIO_EUR,BE24,2004,30324.9,
A,MIO_EUR,BE24,2005,31741.74,
A,MIO_EUR,BE24,2006,33822.53,
A,MIO_EUR,BE24,2007,35700.8,
A,MIO_EUR,BE24,2008,36663.01,
A,MIO_EUR,BE24,2009,37457.38,b
A,MIO_EUR,BE24,2010,38395.82,
A,MIO_EUR,BE24,2011,40165.72,
A,MIO_EUR,BE24,2012,41738.73,
A,MIO_EUR,BE24,2013,42432.31,
A,MIO_EUR,BE24,2014,43217.76,
A,MIO_EUR,BE24,2015,44661.63,
A,MIO_EUR,BE24,2016,46617.15,
A,MIO_EUR,BE24,2017,47997.86,
A,MIO_EUR,BE24,2018,49664.72,
A,MIO_EUR,BE24,2019,51956.95,
A,MIO_EUR,BE24,2020,49502.46,
A,MIO_EUR,BE24,2021,56297.34,
A,MIO_EUR,BE24,2022,59739.57,
A,MIO_EUR,BE24,2023,66454.71,
A,MIO_EUR,BE24,2024,68661.94,p
A,MIO_EUR,BE25,2003,28731.74,
A,MIO_EUR,BE25,2004,30169.34,
A,MIO_EUR,BE25,2005,31353.22,
A,MIO_EUR,BE25,2006,33471.28,
A,MIO_EUR,BE25,2007,35549.38,
A,MIO_EUR,BE25,2008,35831.67,
A,MIO_EUR,BE25,2009,35020.46,b
A,MIO_EUR,BE25,2010,36732.74,
A,MIO_EUR,BE25,2011,38353.94,
A,MIO_EUR,BE25,2012,39204.27,
A,MIO_EUR,BE25,2013,40109.03,
A,MIO_EUR,BE25,2014,41446.47,
A,MIO_EUR,BE25,2015,42158.58,
A,MIO_EUR,BE25,2016,43782.18,
A,MIO_EUR,BE25,2017,45181.69,
A,MIO_EUR,BE25,2018,46501.64,
A,MIO_EUR,BE25,2019,48423.6,
A,MIO_EUR,BE25,2020,47249.8,
A,MIO_EUR,BE25,2021,51895.56,
A,MIO_EUR,BE25,2022,57811.33,
A,MIO_EUR,BE25,2023,62882.78,
A,MIO_EUR,BE25,2024,64563.76,p
A,MIO_EUR,BE31,2003,9715.17,
A,MIO_EUR,BE31,2004,10461.78,
A,MIO_EUR,BE31,2005,11295.38,
A,MIO_EUR,BE31,2006,11352.17,
A,MIO_EUR,BE31,2007,12404.8,
A,MIO_EUR,BE31,2008,12903.58,
A,MIO_EUR,BE31,2009,13169.43,b
A,MIO_EUR,BE31,2010,14890.58,
A,MIO_EUR,BE31,2011,14302.67,
A,MIO_EUR,BE31,2012,14959.08,
A,MIO_EUR,BE31,2013,15562.06,
A,MIO_EUR,BE31,2014,16226.23,
A,MIO_EUR,BE31,2015,16282.04,
A,MIO_EUR,BE31,2016,17396.42,
A,MIO_EUR,BE31,2017,18182.44,
A,MIO_EUR,BE31,2018,20396.29,
A,MIO_EUR,BE31,2019,22739.27,
A,MIO_EUR,BE31,2020,22295.93,
A,MIO_EUR,BE31,2021,21627.82,
A,MIO_EUR,BE31,2022,25594.19,
A,MIO_EUR,BE31,2023,28280.52,
A,MIO_EUR,BE31,2024,28893.16,p
A,MIO_EUR,BE32,2003,22360.62,
A,MIO_EUR,BE32,2004,23825.12,
A,MIO_EUR,BE32,2005,24687.88,
A,MIO_EUR,BE32,2006,25599.3,
A,MIO_EUR,BE32,2007,26901.32,
A,MIO_EUR,BE32,2008,27960.62,
A,MIO_EUR,BE32,2009,26854.54,b
A,MIO_EUR,BE32,2010,28111.15,
A,MIO_EUR,BE32,2011,29380.68,
A,MIO_EUR,BE32,2012,29589.38,
A,MIO_EUR,BE32,2013,29763.72,
A,MIO_EUR,BE32,2014,30613.66,
A,MIO_EUR,BE32,2015,31179.33,
A,MIO_EUR,BE32,2016,31766.29,
A,MIO_EUR,BE32,2017,32610.87,
A,MIO_EUR,BE32,2018,34039.13,
A,MIO_EUR,BE32,2019,34860.73,
A,MIO_EUR,BE32,2020,33538.92,
A,MIO_EUR,BE32,2021,36606.77,
A,MIO_EUR,BE32,2022,40339.0,
A,MIO_EUR,BE32,2023,42680.18,
A,MIO_EUR,BE32,2024,44184.03,p
A,MIO_EUR,BE33,2003,20222.03,
A,MIO_EUR,BE33,2004,21290.71,
A,MIO_EUR,BE33,2005,22238.3,
A,MIO_EUR,BE33,2006,23248.53,
A,MIO_EUR,BE33,2007,24499.49,
A,MIO_EUR,BE33,2008,25357.82,
A,MIO_EUR,BE33,2009,25803.19,b
A,MIO_EUR,BE33,2010,26503.31,
A,MIO_EUR,BE33,2011,27951.21,
A,MIO_EUR,BE33,2012,28505.42,
A,MIO_EUR,BE33,2013,29040.1,
A,MIO_EUR,BE33,2014,29503.13,
A,MIO_EUR,BE33,2015,29762.22,
A,MIO_EUR,BE33,2016,30474.32,
A,MIO_EUR,BE33,2017,31616.05,
A,MIO_EUR,BE33,2018,32783.56,
A,MIO_EUR,BE33,2019,33930.07,
A,MIO_EUR,BE33,2020,32497.24,
A,MIO_EUR,BE33,2021,35607.1,
A,MIO_EUR,BE33,2022,39585.77,
A,MIO_EUR,BE33,2023,42132.1,
A,MIO_EUR,BE33,2024,43415.2,p
A,MIO_EUR,BE34,2003,4691.4,
A,MIO_EUR,BE34,2004,4850.96,
A,MIO_EUR,BE34,2005,5100.98,
A,MIO_EUR,BE34,2006,5451.47,
A,MIO_EUR,BE34,2007,5652.55,
A,MIO_EUR,BE34,2008,5730.12,
A,MIO_EUR,BE34,2009,5567.25,b
A,MIO_EUR,BE34,2010,5747.32,
A,MIO_EUR,BE34,2011,5969.45,
A,MIO_EUR,BE34,2012,6090.65,
A,MIO_EUR,BE34,2013,6171.25,
A,MIO_EUR,BE34,2014,6278.9,
A,MIO_EUR,BE34,2015,6411.27,
A,MIO_EUR,BE34,2016,6618.57,
A,MIO_EUR,BE34,2017,6831.42,
A,MIO_EUR,BE34,2018,7090.83,
A,MIO_EUR,BE34,2019,7370.62,
A,MIO_EUR,BE34,2020,7187.34,
A,MIO_EUR,BE34,2021,8030.3,
A,MIO_EUR,BE34,2022,8999.68,
A,MIO_EUR,BE34,2023,9448.9,
A,MIO_EUR,BE34,2024,9719.44,p
A,MIO_EUR,BE35,2003,8404.1,
A,MIO_EUR,BE35,2004,8861.04,
A,MIO_EUR,BE35,2005,9254.36,
A,MIO_EUR,BE35,2006,9763.76,
A,MIO_EUR,BE35,2007,10157.41,
A,MIO_EUR,BE35,2008,10653.09,
A,MIO_EUR,BE35,2009,10459.65,b
A,MIO_EUR,BE35,2010,11054.27,
A,MIO_EUR,BE35,2011,11447.65,
A,MIO_EUR,BE35,2012,11733.55,
A,MIO_EUR,BE35,2013,11965.66,
A,MIO_EUR,BE35,2014,12100.88,
A,MIO_EUR,BE35,2015,12246.11,
A,MIO_EUR,BE35,2016,12672.9,
A,MIO_EUR,BE35,2017,12959.16,
A,MIO_EUR,BE35,2018,13441.62,
A,MIO_EUR,BE35,2019,13774.38,
A,MIO_EUR,BE35,2020,13433.41,
A,MIO_EUR,BE35,2021,14805.79,
A,MIO_EUR,BE35,2022,16387.73,
A,MIO_EUR,BE35,2023,17643.96,
A,MIO_EUR,BE35,2024,18215.52,p
A,MIO_EUR,BEZZ,2003,285.93,
A,MIO_EUR,BEZZ,2004,220.34,
A,MIO_EUR,BEZZ,2005,176.95,
A,MIO_EUR,BEZZ,2006,174.11,
A,MIO_EUR,BEZZ,2007,178.76,
A,MIO_EUR,BEZZ,2008,185.74,
A,MIO_EUR,BEZZ,2009,155.83,b
A,MIO_EUR,BEZZ,2010,160.25,
A,MIO_EUR,BEZZ,2011,165.54,
A,MIO_EUR,BEZZ,2012,174.16,
A,MIO_EUR,BEZZ,2013,174.67,
A,MIO_EUR,BEZZ,2014,170.04,
A,MIO_EUR,BEZZ,2015,158.27,
A,MIO_EUR,BEZZ,2016,161.82,
A,MIO_EUR,BEZZ,2017,163.94,
A,MIO_EUR,BEZZ,2018,165.61,
A,MIO_EUR,BEZZ,2019,168.5,
A,MIO_EUR,BEZZ,2020,169.3,
A,MIO_EUR,BEZZ,2021,166.67,
A,MIO_EUR,BEZZ,2022,175.27,
A,MIO_EUR,BEZZ,2023,187.3,
A,MIO_EUR,BEZZ,2024,195.99,p
A,MIO_EUR,BG31,2000,1672.81,
A,MIO_EUR,BG31,2001,1815.27,
A,MIO_EUR,BG31,2002,1892.57,
A,MIO_EUR,BG31,2003,1922.44,
A,MIO_EUR,BG31,2004,2046.35,
A,MIO_EUR,BG31,2005,2256.86,
A,MIO_EUR,BG31,2006,2339.16,
A,MIO_EUR,BG31,2007,2663.88,
A,MIO_EUR,BG31,2008,2941.01,
A,MIO_EUR,BG31,2009,2832.52,
A,MIO_EUR,BG31,2010,2794.98,
A,MIO_EUR,BG31,2011,3006.4,
A,MIO_EUR,BG31,2012,3002.7,
A,MIO_EUR,BG31,2013,2956.07,
A,MIO_EUR,BG31,2014,3060.39,
A,MIO_EUR,BG31,2015,3089.05,
A,MIO_EUR,BG31,2016,3223.35,
A,MIO_EUR,BG31,2017,3539.81,
A,MIO_EUR,BG31,2018,3923.8,
A,MIO_EUR,BG31,2019,3943.37,
A,MIO_EUR,BG31,2020,4218.35,
A,MIO_EUR,BG31,2021,4963.5,
A,MIO_EUR,BG31,2022,5979.94,
A,MIO_EUR,BG31,2023,6528.61,
A,MIO_EUR,BG31,2024,6794.63,
A,MIO_EUR,BG32,2000,1502.99,
A,MIO_EUR,BG32,2001,1683.88,
A,MIO_EUR,BG32,2002,1888.88,
A,MIO_EUR,BG32,2003,1885.84,
A,MIO_EUR,BG32,2004,2041.65,
A,MIO_EUR,BG32,2005,2295.51,
A,MIO_EUR,BG32,2006,2463.75,
A,MIO_EUR,BG32,2007,2805.49,
A,MIO_EUR,BG32,2008,3124.9,
A,MIO_EUR,BG32,2009,3070.7,
A,MIO_EUR,BG32,2010,3012.52,
A,MIO_EUR,BG32,2011,3271.91,
A,MIO_EUR,BG32,2012,3404.59,
A,MIO_EUR,BG32,2013,3427.09,
A,MIO_EUR,BG32,2014,3555.54,
A,MIO_EUR,BG32,2015,3640.27,
