country,year,sector,stri_score
BRA,2018,professional_services,0.4627
BRA,2019,professional_services,0.4564
BRA,2020,professional_services,0.4819
BRA,2021,professional_services,0.4364
BRA,2022,professional_services,0.4322
BRA,2018,telecommunications,0.4004
BRA,2019,telecommunications,0.3917
BRA,2020,telecommunications,0.4073
BRA,2021,telecommunications,0.3932
BRA,2022,telecommunications,0.358
BRA,2018,transport,0.3535
BRA,2019,transport,0.3362
BRA,2020,transport,0.3257
BRA,2021,transport,0.299
BRA,2022,transport,0.334
CAN,2018,computer_services,0.1462
CAN,2019,computer_services,0.1546
CAN,2020,computer_services,0.1501
CAN,2021,computer_services,0.1155
CAN,2022,computer_services,0.1731
CAN,2018,financial_services,0.1877
CAN,2019,financial_services,0.2146
CAN,2020,financial_services,0.1898
CAN,2021,financial_services,0.215
CAN,2022,financial_services,0.1954
CAN,2018,professional_services,0.1885
CAN,2019,professional_services,0.2222
CAN,2020,professional_services,0.2036
CAN,2021,professional_services,0.2458
CAN,2022,professional_services,0.1938
CAN,2018,telecommunications,0.1607
CAN,2019,telecommunications,0.2105
CAN,2020,telecommunications,0.1921
CAN,2021,telecommunications,0.1586
CAN,2022,telecommunications,0.1459
CAN,2018,transport,0.1503
CAN,2019,transport,0.1462
CAN,2020,transport,0.1394
CAN,2021,transport,0.1535
CAN,2022,transport,0.1666
CHE,2018,computer_services,0.1559
CHE,2019,computer_services,0.1528
CHE,2020,computer_services,0.1755
CHE,2021,computer_services,0.1698
CHE,2022,computer_services,0.1802
CHE,2018,financial_services,0.253
CHE,2019,financial_services,0.24
CHE,2020,financial_services,0.2753
CHE,2021,financial_services,0.2767
CHE,2022,financial_services,0.2336
CHE,2018,professional_services,0.2737
CHE,2019,professional_services,0.2638
CHE,2020,professional_services,0.2744
CHE,2021,professional_services,0.2586
CHE,2022,professional_services,0.2812
CHE,2018,telecommunications,0.2374
CHE,2019,telecommunications,0.2546
CHE,2020,telecommunications,0.239
CHE,2021,telecommunications,0.1771
CHE,2022,telecommunications,0.2959
CHE,2018,transport,0.2153
CHE,2019,transport,0.2161
CHE,2020,transport,0.212
CHE,2021,transport,0.1926
CHE,2022,transport,0.1645
CHN,2018,computer_services,0.4253
CHN,2019,computer_services,0.3749
CHN,2020,computer_services,0.3637
CHN,2021,computer_services,0.4117
CHN,2022,computer_services,0.412
CHN,2018,financial_services,0.6261
CHN,2019,financial_services,0.5855
CHN,2020,financial_services,0.6036
CHN,2021,financial_services,0.6097
CHN,2022,financial_services,0.6051
CHN,2018,professional_services,0.6887
CHN,2019,professional_services,0.654
CHN,2020,professional_services,0.6533
CHN,2021,professional_services,0.6246
CHN,2022,professional_services,0.6605
CHN,2018,telecommunications,0.5583
CHN,2019,telecommunications,0.5791
CHN,2020,telecommunications,0.5832
CHN,2021,telecommunications,0.5763
CHN,2022,telecommunications,0.5529
CHN,2018,transport,0.5242
CHN,2019,transport,0.4855
CHN,2020,transport,0.5008
CHN,2021,transport,0.5133
CHN,2022,transport,0.5113
COL,2018,computer_services,0.2205
COL,2019,computer_services,0.2061
COL,2020,computer_services,0.183
COL,2021,computer_services,0.1927
COL,2022,computer_services,0.2022
COL,2018,financial_services,0.3349
COL,2019,financial_services,0.2958
COL,2020,financial_services,0.2821
COL,2021,financial_services,0.2852
COL,2022,financial_services,0.324
COL,2018,professional_services,0.3474
COL,2019,professional_services,0.325
COL,2020,professional_services,0.358
COL,2021,professional_services,0.3246
COL,2022,professional_services,0.3521
COL,2018,telecommunications,0.2937
COL,2019,telecommunications,0.2893
COL,2020,telecommunications,0.2573
COL,2021,telecommunications,0.2938
COL,2022,telecommunications,0.2832
COL,2018,transport,0.223
COL,2019,transport,0.2625
COL,2020,transport,0.2408
COL,2021,transport,0.2049
COL,2022,transport,0.2578
DEU,2018,computer_services,0.1528
DEU,2019,computer_services,0.1477
DEU,2020,computer_services,0.1484
DEU,2021,computer_services,0.1456
DEU,2022,computer_services,0.148
DEU,2018,financial_services,0.2562
DEU,2019,financial_services,0.2227
DEU,2020,financial_services,0.2369
DEU,2021,financial_services,0.2481
DEU,2022,financial_services,0.2298
DEU,2018,professional_services,0.2869
DEU,2019,professional_services,0.246
DEU,2020,professional_services,0.2777
DEU,2021,professional_services,0.2664
DEU,2022,professional_services,0.2588
DEU,2018,telecommunications,0.2462
DEU,2019,telecommunications,0.2238
DEU,2020,telecommunications,0.2273
DEU,2021,telecommunications,0.2517
DEU,2022,telecommunications,0.2483
DEU,2018,transport,0.1815
DEU,2019,transport,0.1869
DEU,2020,transport,0.2335
DEU,2021,transport,0.194
DEU,2022,transport,0.2008
DNK,2018,computer_services,0.1015
DNK,2019,computer_services,0.0938
DNK,2020,computer_services,0.0706
DNK,2021,computer_services,0.0995
DNK,2022,computer_services,0.0901
DNK,2018,financial_services,0.166
DNK,2019,financial_services,0.1698
DNK,2020,financial_services,0.1256
DNK,2021,financial_services,0.1403
DNK,2022,financial_services,0.1362
DNK,2018,professional_services,0.1705
DNK,2019,professional_services,0.1792
DNK,2020,professional_services,0.1802
DNK,2021,professional_services,0.1704
DNK,2022,professional_services,0.1072
DNK,2018,telecommunications,0.133
DNK,2019,telecommunications,0.1227
DNK,2020,telecommunications,0.152
DNK,2021,telecommunications,0.1285
DNK,2022,telecommunications,0.1075
DNK,2018,transport,0.1051
DNK,2019,transport,0.1257
DNK,2020,transport,0.1384
DNK,2021,transport,0.0993
DNK,2022,transport,0.1022
ESP,2018,computer_services,0.1245
ESP,2019,computer_services,0.1305
ESP,2020,computer_services,0.1114
ESP,2021,computer_services,0.1528
ESP,2022,computer_services,0.1496
ESP,2018,financial_services,0.2295
ESP,2019,financial_services,0.2209
ESP,2020,financial_services,0.2167
ESP,2021,financial_services,0.2278
ESP,2022,financial_services,0.2325
ESP,2018,professional_services,0.233
ESP,2019,professional_services,0.216
ESP,2020,professional_services,0.2622
ESP,2021,professional_services,0.266
ESP,2022,professional_services,0.2635
ESP,2018,telecommunications,0.2143
ESP,2019,telecommunications,0.225
ESP,2020,telecommunications,0.2202
ESP,2021,telecommunications,0.1906
ESP,2022,telecommunications,0.2292
ESP,2018,transport,0.181
ESP,2019,transport,0.1808
ESP,2020,transport,0.1787
ESP,2021,transport,0.1713
ESP,2022,transport,0.1474
FIN,2018,computer_services,0.1114
FIN,2019,computer_services,0.1156
FIN,2020,computer_services,0.1297
FIN,2021,computer_services,0.1603
FIN,2022,computer_services,0.101
FIN,2018,financial_services,0.1576
FIN,2019,financial_services,0.1758
FIN,2020,financial_services,0.1801
FIN,2021,financial_services,0.2208
FIN,2022,financial_services,0.193
FIN,2018,professional_services,0.1883
FIN,2019,professional_services,0.1746
FIN,2020,professional_services,0.2001
FIN,2021,professional_services,0.1469
FIN,2022,professional_services,0.1751
FIN,2018,telecommunications,0.1921
FIN,2019,telecommunications,0.1042
FIN,2020,telecommunications,0.1467
FIN,2021,telecommunications,0.1378
FIN,2022,telecommunications,0.1411
FIN,2018,transport,0.1086
FIN,2019,transport,0.1388
FIN,2020,transport,0.1473
FIN,2021,transport,0.1212
FIN,2022,transport,0.1226
FRA,2018,computer_services,0.2046
FRA,2019,computer_services,0.1671
FRA,2020,computer_services,0.1664
FRA,2021,computer_services,0.1917
FRA,2022,computer_services,0.1699
FRA,2018,financial_services,0.2588
FRA,2019,financial_services,0.2778
FRA,2020,financial_services,0.2638
FRA,2021,financial_services,0.2628
FRA,2022,financial_services,0.2589
FRA,2018,professional_services,0.2952
FRA,2019,professional_services,0.2714
FRA,2020,professional_services,0.2845
FRA,2021,professional_services,0.2906
FRA,2022,professional_services,0.2535
FRA,2018,telecommunications,0.2653
FRA,2019,telecommunications,0.2711
FRA,2020,telecommunications,0.2432
FRA,2021,telecommunications,0.2338
FRA,2022,telecommunications,0.2428
FRA,2018,transport,0.2021
FRA,2019,transport,0.2225
FRA,2020,transport,0.257
FRA,2021,transport,0.2192
FRA,2022,transport,0.2068
GBR,2018,computer_services,0.129
GBR,2019,computer_services,0.0949
GBR,2020,computer_services,0.0818
GBR,2021,computer_services,0.1232
GBR,2022,computer_services,0.0882
GBR,2018,financial_services,0.1551
GBR,2019,financial_services,0.1605
GBR,2020,financial_services,0.1545
GBR,2021,financial_services,0.1812
GBR,2022,financial_services,0.1327
GBR,2018,professional_services,0.1602
GBR,2019,professional_services,0.1382
GBR,2020,professional_services,0.122
GBR,2021,professional_services,0.1747
GBR,2022,professional_services,0.1367
GBR,2018,telecommunications,0.142
GBR,2019,telecommunications,0.1406
GBR,2020,telecommunications,0.1514
GBR,2021,telecommunications,0.1324
GBR,2022,telecommunications,0.1444
GBR,2018,transport,0.1416
GBR,2019,transport,0.161
GBR,2020,transport,0.1197
GBR,2021,transport,0.0975
GBR,2022,transport,0.1259
IDN,2018,computer_services,0.2738
IDN,2019,computer_services,0.3323
IDN,2020,computer_services,0.3089
IDN,2021,computer_services,0.3332
IDN,2022,computer_services,0.2994
IDN,2018,financial_services,0.4489
IDN,2019,financial_services,0.4862
IDN,2020,financial_services,0.4878
IDN,2021,financial_services,0.4506
IDN,2022,financial_services,0.4505
IDN,2018,professional_services,0.5162
IDN,2019,professional_services,0.5123
IDN,2020,professional_services,0.5114
IDN,2021,professional_services,0.4905
IDN,2022,professional_services,0.4842
IDN,2018,telecommunications,0.4297
IDN,2019,telecommunications,0.461
IDN,2020,telecommunications,0.4156
IDN,2021,telecommunications,0.4437
IDN,2022,telecommunications,0.4324
IDN,2018,transport,0.3567
IDN,2019,transport,0.3812
IDN,2020,transport,0.3584
IDN,2021,transport,0.3833
IDN,2022,transport,0.3329
IND,2018,computer_services,0.3251
IND,2019,computer_services,0.3164
IND,2020,computer_services,0.349
IND,2021,computer_services,0.3276
IND,2022,computer_services,0.3059
IND,2018,financial_services,0.4618
IND,2019,financial_services,0.5131
IND,2020,financial_services,0.48
IND,2021,financial_services,0.4581
IND,2022,financial_services,0.5051
IND,2018,professional_services,0.5187
IND,2019,professional_services,0.5056
IND,2020,professional_services,0.5689
IND,2021,professional_services,0.5607
IND,2022,professional_services,0.5331
IND,2018,telecommunications,0.4918
IND,2019,telecommunications,0.4916
IND,2020,telecommunications,0.4015
IND,2021,telecommunications,0.4297
IND,2022,telecommunications,0.4725
IND,2018,transport,0.3915
IND,2019,transport,0.4129
IND,2020,transport,0.3972
IND,2021,transport,0.4149
IND,2022,transport,0.4098
IRL,2018,computer_services,0.1191
IRL,2019,computer_services,0.1221
IRL,2020,computer_services,0.139
IRL,2021,computer_services,0.0645
IRL,2022,computer_services,0.0684
IRL,2018,financial_services,0.1301
IRL,2019,financial_services,0.1654
IRL,2020,financial_services,0.1244
IRL,2021,financial_services,0.1608
IRL,2022,financial_services,0.136
IRL,2018,professional_services,0.1667
IRL,2019,professional_services,0.2006
IRL,2020,professional_services,0.175
IRL,2021,professional_services,0.1355
IRL,2022,professional_services,0.1789
IRL,2018,telecommunications,0.1559
IRL,2019,telecommunications,0.1176
IRL,2020,telecommunications,0.1642
IRL,2021,telecommunications,0.1525
IRL,2022,telecommunications,0.1104
IRL,2018,transport,0.1252
IRL,2019,transport,0.1505
IRL,2020,transport,0.0994
IRL,2021,transport,0.1393
IRL,2022,transport,0.1465
ITA,2018,computer_services,0.18
ITA,2019,computer_services,0.1564
ITA,2020,computer_services,0.1809
ITA,2021,computer_services,0.2037
ITA,2022,computer_services,0.2241
ITA,2018,financial_services,0.2585
ITA,2019,financial_services,0.269
ITA,2020,financial_services,0.2888
ITA,2021,financial_services,0.2488
ITA,2022,financial_services,0.2648
ITA,2018,professional_services,0.2709
ITA,2019,professional_services,0.3164
ITA,2020,professional_services,0.3181
ITA,2021,professional_services,0.3181
ITA,2022,professional_services,0.2831
ITA,2018,telecommunications,0.2431
ITA,2019,telecommunications,0.2266
ITA,2020,telecommunications,0.2529
ITA,2021,telecommunications,0.2556
ITA,2022,telecommunications,0.2684
ITA,2018,transport,0.2311
ITA,2019,transport,0.2106
ITA,2020,transport,0.232
ITA,2021,transport,0.2428
ITA,2022,transport,0.2119
JPN,2018,computer_services,0.1893
JPN,2019,computer_services,0.146
JPN,2020,computer_services,0.1667
JPN,2021,computer_services,0.1441
JPN,2022,computer_services,0.1694
JPN,2018,financial_services,0.2536
JPN,2019,financial_services,0.3084
JPN,2020,financial_services,0.2105
JPN,2021,financial_services,0.2576
JPN,2022,financial_services,0.2574
JPN,2018,professional_services,0.2919
JPN,2019,professional_services,0.2893
JPN,2020,professional_services,0.28
JPN,2021,professional_services,0.2857
JPN,2022,professional_services,0.2835
JPN,2018,telecommunications,0.2351
JPN,2019,telecommunications,0.2578
JPN,2020,telecommunications,0.198
JPN,2021,telecommunications,0.245
JPN,2022,telecommunications,0.2374
JPN,2018,transport,0.2241
JPN,2019,transport,0.2145
JPN,2020,transport,0.1763
JPN,2021,transport,0.1937
JPN,2022,transport,0.2149
KOR,2018,computer_services,0.1546
KOR,2019,computer_services,0.1078
KOR,2020,computer_services,0.1471
KOR,2021,computer_services,0.1565
KOR,2022,computer_services,0.1702
KOR,2018,financial_services,0.2412
KOR,2019,financial_services,0.2203
KOR,2020,financial_services,0.2293
KOR,2021,financial_services,0.1678
KOR,2022,financial_services,0.2071
KOR,2018,professional_services,0.2601
KOR,2019,professional_services,0.2877
KOR,2020,professional_services,0.2786
KOR,2021,professional_services,0.2133
KOR,2022,professional_services,0.2395
KOR,2018,telecommunications,0.2023
KOR,2019,telecommunications,0.2025
KOR,2020,telecommunications,0.2188
KOR,2021,telecommunications,0.2136
KOR,2022,telecommunications,0.2304
KOR,2018,transport,0.1859
KOR,2019,transport,0.1888
KOR,2020,transport,0.1735
KOR,2021,transport,0.1952
KOR,2022,transport,0.1959
MEX,2018,computer_services,0.2418
MEX,2019,computer_services,0.2495
MEX,2020,computer_services,0.2185
MEX,2021,computer_services,0.2515
MEX,2022,computer_services,0.2368
MEX,2018,financial_services,0.3625
MEX,2019,financial_services,0.3885
MEX,2020,financial_services,0.3583
MEX,2021,financial_services,0.3277
MEX,2022,financial_services,0.3395
MEX,2018,professional_services,0.3863
MEX,2019,professional_services,0.4
MEX,2020,professional_services,0.4418
MEX,2021,professional_services,0.3944
MEX,2022,professional_services,0.3965
MEX,2018,telecommunications,0.3372
MEX,2019,telecommunications,0.3466
MEX,2020,telecommunications,0.3952
MEX,2021,telecommunications,0.3471
MEX,2022,telecommunications,0.3382
MEX,2018,transport,0.3228
MEX,2019,transport,0.2995
MEX,2020,transport,0.311
MEX,2021,transport,0.3081
MEX,2022,transport,0.2714
NLD,2018,computer_services,0.1014
NLD,2019,computer_services,0.089
NLD,2020,computer_services,0.1059
NLD,2021,computer_services,0.112
NLD,2022,computer_services,0.0759
NLD,2018,financial_services,0.178
NLD,2019,financial_services,0.1707
NLD,2020,financial_services,0.161
NLD,2021,financial_services,0.1405
NLD,2022,financial_services,0.1108
NLD,2018,professional_services,0.1824
NLD,2019,professional_services,0.1552
NLD,2020,professional_services,0.1538
NLD,2021,professional_services,0.1388
NLD,2022,professional_services,0.1443
NLD,2018,telecommunications,0.1244
NLD,2019,telecommunications,0.1508
NLD,2020,telecommunications,0.1324
NLD,2021,telecommunications,0.121
NLD,2022,telecommunications,0.1235
NLD,2018,transport,0.1189
NLD,2019,transport,0.111
NLD,2020,transport,0.1067
NLD,2021,transport,0.1031
NLD,2022,transport,0.1498
NOR,2018,computer_services,0.1139
NOR,2019,computer_services,0.1474
NOR,2020,computer_services,0.1096
NOR,2021,computer_services,0.081
NOR,2022,computer_services,0.1124
NOR,2018,financial_services,0.1652
NOR,2019,financial_services,0.2121
NOR,2020,financial_services,0.1677
NOR,2021,financial_services,0.2213
NOR,2022,financial_services,0.1573
NOR,2018,professional_services,0.2365
NOR,2019,professional_services,0.202
NOR,2020,professional_services,0.2017
NOR,2021,professional_services,0.2251
NOR,2022,professional_services,0.2196
NOR,2018,telecommunications,0.2047
NOR,2019,telecommunications,0.165
NOR,2020,telecommunications,0.2125
NOR,2021,telecommunications,0.2178
NOR,2022,telecommunications,0.2051
NOR,2018,transport,0.1955
NOR,2019,transport,0.1858
NOR,2020,transport,0.1599
NOR,2021,transport,0.1504
NOR,2022,transport,0.1842
NZL,2018,computer_services,0.1037
NZL,2019,computer_services,0.1054
NZL,2020,computer_services,0.1081
NZL,2021,computer_services,0.1289
NZL,2022,computer_services,0.142
NZL,2018,financial_services,0.1707
NZL,2019,financial_services,0.1908
NZL,2020,financial_services,0.2052
NZL,2021,financial_services,0.1655
NZL,2022,financial_services,0.1724
NZL,2018,professional_services,0.206
NZL,2019,professional_services,0.1729
NZL,2020,professional_services,0.1726
NZL,2021,professional_services,0.1789
NZL,2022,professional_services,0.1845
NZL,2018,telecommunications,0.2062
NZL,2019,telecommunications,0.1394
NZL,2020,telecommunications,0.1229
NZL,2021,telecommunications,0.1697
NZL,2022,telecommunications,0.1876
NZL,2018,transport,0.1561
NZL,2019,transport,0.1124
NZL,2020,transport,0.1194
NZL,2021,transport,0.1742
NZL,2022,transport,0.1459
RUS,2018,computer_services,0.2921
RUS,2019,computer_services,0.3091
RUS,2020,computer_services,0.2558
RUS,2021,computer_services,0.3017
RUS,2022,computer_services,0.3275
RUS,2018,financial_services,0.4112
RUS,2019,financial_services,0.4461
RUS,2020,financial_services,0.4586
RUS,2021,financial_services,0.434
RUS,2022,financial_services,0.4609
RUS,2018,professional_services,0.4662
RUS,2019,professional_services,0.4883
RUS,2020,professional_services,0.4843
RUS,2021,professional_services,0.4681
RUS,2022,professional_services,0.477
RUS,2018,telecommunications,0.4192
RUS,2019,telecommunications,0.4398
RUS,2020,telecommunications,0.4065
RUS,2021,telecommunications,0.4107
RUS,2022,telecommunications,0.3943
RUS,2018,transport,0.3563
RUS,2019,transport,0.3438
RUS,2020,transport,0.3557
RUS,2021,transport,0.3482
RUS,2022,transport,0.354
SWE,2018,computer_services,0.1166
SWE,2019,computer_services,0.098
SWE,2020,computer_services,0.1162
SWE,2021,computer_services,0.0948
SWE,2022,computer_services,0.0944
SWE,2018,financial_services,0.1635
SWE,2019,financial_services,0.1629
SWE,2020,financial_services,0.1444
SWE,2021,financial_services,0.1564
SWE,2022,financial_services,0.158
SWE,2018,professional_services,0.1816
SWE,2019,professional_services,0.1687
SWE,2020,professional_services,0.1553
SWE,2021,professional_services,0.1634
SWE,2022,professional_services,0.1579
SWE,2018,telecommunications,0.1828
SWE,2019,telecommunications,0.1772
SWE,2020,telecommunications,0.1386
SWE,2021,telecommunications,0.1695
SWE,2022,telecommunications,0.1526
SWE,2018,transport,0.1375
SWE,2019,transport,0.1464
SWE,2020,transport,0.1426
SWE,2021,transport,0.1155
SWE,2022,transport,0.1197
THA,2018,computer_services,0.3043
THA,2019,computer_services,0.2331
THA,2020,computer_services,0.2534
THA,2021,computer_services,0.2937
THA,2022,computer_services,0.245
THA,2018,financial_services,0.4104
THA,2019,financial_services,0.4101
THA,2020,financial_services,0.4368
THA,2021,financial_services,0.3792
THA,2022,financial_services,0.3805
THA,2018,professional_services,0.4796
THA,2019,professional_services,0.4201
THA,2020,professional_services,0.4059
THA,2021,professional_services,0.4264
THA,2022,professional_services,0.424
THA,2018,telecommunications,0.3885
THA,2019,telecommunications,0.3625
THA,2020,telecommunications,0.3657
THA,2021,telecommunications,0.3705
THA,2022,telecommunications,0.3459
THA,2018,transport,0.3132
THA,2019,transport,0.3121
THA,2020,transport,0.3222
THA,2021,transport,0.3085
THA,2022,transport,0.2958
TUR,2018,computer_services,0.3223
TUR,2019,computer_services,0.2515
TUR,2020,computer_services,0.221
TUR,2021,computer_services,0.2883
TUR,2022,computer_services,0.2582
TUR,2018,financial_services,0.3839
TUR,2019,financial_services,0.4039
TUR,2020,financial_services,0.414
TUR,2021,financial_services,0.3699
TUR,2022,financial_services,0.3752
TUR,2018,professional_services,0.3906
TUR,2019,professional_services,0.393
TUR,2020,professional_services,0.4239
TUR,2021,professional_services,0.3863
TUR,2022,professional_services,0.3963
TUR,2018,telecommunications,0.3228
TUR,2019,telecommunications,0.3575
TUR,2020,telecommunications,0.3853
TUR,2021,telecommunications,0.3751
TUR,2022,telecommunications,0.384
TUR,2018,transport,0.2861
TUR,2019,transport,0.3152
TUR,2020,transport,0.3103
TUR,2021,transport,0.2731
TUR,2022,transport,0.3378
USA,2018,computer_services,0.1478
USA,2019,computer_services,0.1184
USA,2020,computer_services,0.1088
USA,2021,computer_services,0.1587
USA,2022,computer_services,0.128
USA,2018,financial_services,0.1993
USA,2019,financial_services,0.2132
USA,2020,financial_services,0.2042
USA,2021,financial_services,0.2282
USA,2022,financial_services,0.205
USA,2018,professional_services,0.2322
USA,2019,professional_services,0.1865
USA,2020,professional_services,0.2033
USA,2021,professional_services,0.1842
USA,2022,professional_services,0.1925
USA,2018,telecommunications,0.2096
USA,2019,telecommunications,0.2198
USA,2020,telecommunications,0.2079
USA,2021,telecommunications,0.1635
USA,2022,telecommunications,0.1531
USA,2018,transport,0.1801
USA,2019,transport,0.1304
USA,2020,transport,0.1473
USA,2021,transport,0.1593
USA,2022,transport,0.1406
ZAF,2018,computer_services,0.2538
ZAF,2019,computer_services,0.2557
ZAF,2020,computer_services,0.236
ZAF,2021,computer_services,0.2144
ZAF,2022,computer_services,0.261
ZAF,2018,financial_services,0.3437
ZAF,2019,financial_services,0.3641
ZAF,2020,financial_services,0.3531
ZAF,2021,financial_services,0.3552
ZAF,2022,financial_services,0.3634
ZAF,2018,professional_services,0.4113
ZAF,2019,professional_services,0.3488
ZAF,2020,professional_services,0.3765
ZAF,2021,professional_services,0.4255
ZAF,2022,professional_services,0.4028
ZAF,2018,telecommunications,0.3642
ZAF,2019,telecommunications,0.3456
ZAF,2020,telecommunications,0.3345
ZAF,2021,telecommunications,0.3154
ZAF,2022,telecommunications,0.3126
ZAF,2018,transport,0.3102
ZAF,2019,transport,0.2412
ZAF,2020,transport,0.2777
ZAF,2021,transport,0.2678
ZAF,2022,transport,0.279
