exporter,importer,year,service_category,trade_value
AUS,CHN,2021,financial,1834.0
AUS,CHN,2021,other_business,5988.5
AUS,CHN,2021,telecom,1390.5
AUS,CHN,2021,total_services,18248.4
AUS,CHN,2021,transport,2681.4
AUS,CHN,2021,travel,3469.8
AUS,DEU,2019,financial,316.6
AUS,DEU,2019,other_business,1436.5
AUS,DEU,2019,telecom,349.2
AUS,DEU,2019,total_services,3995.2
AUS,DEU,2019,transport,545.9
AUS,DEU,2019,travel,667.9
AUS,DEU,2020,financial,439.5
AUS,DEU,2020,other_business,1325.1
AUS,DEU,2020,telecom,382.1
AUS,DEU,2020,total_services,4713.0
AUS,DEU,2020,transport,652.4
AUS,DEU,2020,travel,1163.8
AUS,DEU,2021,financial,494.2
AUS,DEU,2021,other_business,1745.3
AUS,DEU,2021,telecom,312.6
AUS,DEU,2021,total_services,3750.2
AUS,DEU,2021,transport,611.2
AUS,DEU,2021,travel,1108.6
AUS,ESP,2019,financial,152.8
AUS,ESP,2019,other_business,532.1
AUS,ESP,2019,telecom,171.7
AUS,ESP,2019,total_services,1014.6
AUS,ESP,2019,transport,236.8
AUS,ESP,2019,travel,272.3
AUS,ESP,2020,financial,169.5
AUS,ESP,2020,other_business,438.6
AUS,ESP,2020,telecom,167.7
AUS,ESP,2020,total_services,1273.3
AUS,ESP,2020,transport,222.5
AUS,ESP,2020,travel,357.4
AUS,ESP,2021,financial,129.5
AUS,ESP,2021,other_business,547.1
AUS,ESP,2021,telecom,134.0
AUS,ESP,2021,total_services,1201.9
AUS,ESP,2021,transport,246.9
AUS,ESP,2021,travel,255.5
AUS,FRA,2019,financial,326.6
AUS,FRA,2019,other_business,1183.0
AUS,FRA,2019,telecom,255.0
AUS,FRA,2019,total_services,2623.5
AUS,FRA,2019,transport,571.0
AUS,FRA,2019,travel,634.3
AUS,FRA,2020,financial,369.2
AUS,FRA,2020,other_business,867.9
AUS,FRA,2020,telecom,401.8
AUS,FRA,2020,total_services,2724.9
AUS,FRA,2020,transport,539.9
AUS,FRA,2020,travel,698.2
AUS,FRA,2021,financial,312.0
AUS,FRA,2021,other_business,1063.9
AUS,FRA,2021,telecom,237.0
AUS,FRA,2021,total_services,2744.6
AUS,FRA,2021,transport,468.8
AUS,FRA,2021,travel,635.2
AUS,GBR,2019,financial,369.5
AUS,GBR,2019,other_business,1132.9
AUS,GBR,2019,telecom,300.7
AUS,GBR,2019,total_services,3332.5
AUS,GBR,2019,transport,578.4
AUS,GBR,2019,travel,789.8
AUS,GBR,2020,financial,194.6
AUS,GBR,2020,other_business,1574.7
AUS,GBR,2020,telecom,369.2
AUS,GBR,2020,total_services,4001.1
AUS,GBR,2020,transport,555.1
AUS,GBR,2020,travel,700.0
AUS,GBR,2021,financial,359.6
AUS,GBR,2021,other_business,1176.4
AUS,GBR,2021,telecom,362.6
AUS,GBR,2021,total_services,3020.6
AUS,GBR,2021,transport,509.6
AUS,GBR,2021,travel,792.8
AUS,HKG,2019,financial,59.7
AUS,HKG,2019,other_business,179.7
AUS,HKG,2019,telecom,37.9
AUS,HKG,2019,total_services,417.7
AUS,HKG,2019,transport,76.0
AUS,HKG,2019,travel,90.6
AUS,HKG,2020,financial,60.2
AUS,HKG,2020,other_business,180.5
AUS,HKG,2020,telecom,35.4
AUS,HKG,2020,total_services,475.8
AUS,HKG,2020,transport,80.0
AUS,HKG,2020,travel,95.9
AUS,HKG,2021,financial,58.9
AUS,HKG,2021,other_business,182.2
AUS,HKG,2021,telecom,42.1
AUS,HKG,2021,total_services,375.5
AUS,HKG,2021,transport,95.8
AUS,HKG,2021,travel,87.7
AUS,IND,2019,financial,394.2
AUS,IND,2019,other_business,979.0
AUS,IND,2019,telecom,233.2
AUS,IND,2019,total_services,2932.8
AUS,IND,2019,transport,550.3
AUS,IND,2019,travel,857.1
AUS,IND,2020,financial,377.6
AUS,IND,2020,other_business,1214.3
AUS,IND,2020,telecom,328.3
AUS,IND,2020,total_services,2824.8
AUS,IND,2020,transport,592.6
AUS,IND,2020,travel,809.6
AUS,IND,2021,financial,462.1
AUS,IND,2021,other_business,1129.4
AUS,IND,2021,telecom,262.0
AUS,IND,2021,total_services,2856.6
AUS,IND,2021,transport,572.2
AUS,IND,2021,travel,695.9
AUS,IRL,2019,financial,55.8
AUS,IRL,2019,other_business,135.9
AUS,IRL,2019,telecom,51.8
AUS,IRL,2019,total_services,591.0
AUS,IRL,2019,transport,95.0
AUS,IRL,2019,travel,110.8
AUS,IRL,2020,financial,76.1
AUS,IRL,2020,other_business,211.9
AUS,IRL,2020,telecom,62.4
AUS,IRL,2020,total_services,523.4
AUS,IRL,2020,transport,90.9
AUS,IRL,2020,travel,76.0
AUS,IRL,2021,financial,63.8
AUS,IRL,2021,other_business,202.3
AUS,IRL,2021,telecom,50.8
AUS,IRL,2021,total_services,609.3
AUS,IRL,2021,transport,103.7
AUS,IRL,2021,travel,132.1
AUS,ITA,2019,financial,198.1
AUS,ITA,2019,other_business,694.8
AUS,ITA,2019,telecom,218.4
AUS,ITA,2019,total_services,2155.7
AUS,ITA,2019,transport,279.6
AUS,ITA,2019,travel,548.9
AUS,ITA,2020,financial,263.6
AUS,ITA,2020,other_business,872.1
AUS,ITA,2020,telecom,184.2
AUS,ITA,2020,total_services,2067.6
AUS,ITA,2020,transport,348.7
AUS,ITA,2020,travel,401.4
AUS,ITA,2021,financial,243.8
AUS,ITA,2021,other_business,669.8
AUS,ITA,2021,telecom,237.3
AUS,ITA,2021,total_services,2310.4
AUS,ITA,2021,transport,266.4
AUS,ITA,2021,travel,372.3
AUS,JPN,2019,financial,637.8
AUS,JPN,2019,other_business,1556.3
AUS,JPN,2019,telecom,546.9
AUS,JPN,2019,total_services,3859.8
AUS,JPN,2019,transport,702.8
AUS,JPN,2019,travel,1048.5
AUS,JPN,2020,financial,449.7
AUS,JPN,2020,other_business,1400.0
AUS,JPN,2020,telecom,326.9
AUS,JPN,2020,total_services,3518.8
AUS,JPN,2020,transport,764.2
AUS,JPN,2020,travel,824.3
AUS,JPN,2021,financial,527.2
AUS,JPN,2021,other_business,1724.3
AUS,JPN,2021,telecom,513.2
AUS,JPN,2021,total_services,4860.9
AUS,JPN,2021,transport,692.7
AUS,JPN,2021,travel,893.0
AUS,KOR,2019,financial,192.8
AUS,KOR,2019,other_business,738.3
AUS,KOR,2019,telecom,155.4
AUS,KOR,2019,total_services,1864.0
AUS,KOR,2019,transport,322.2
AUS,KOR,2019,travel,331.8
AUS,KOR,2020,financial,190.0
AUS,KOR,2020,other_business,641.2
AUS,KOR,2020,telecom,126.7
AUS,KOR,2020,total_services,1746.7
AUS,KOR,2020,transport,366.2
AUS,KOR,2020,travel,391.2
AUS,KOR,2021,financial,184.1
AUS,KOR,2021,other_business,730.3
AUS,KOR,2021,telecom,187.3
AUS,KOR,2021,total_services,1306.5
AUS,KOR,2021,transport,283.5
AUS,KOR,2021,travel,359.1
AUS,NLD,2019,financial,104.8
AUS,NLD,2019,other_business,310.0
AUS,NLD,2019,telecom,106.2
AUS,NLD,2019,total_services,1086.4
AUS,NLD,2019,transport,189.7
AUS,NLD,2019,travel,217.0
AUS,NLD,2020,financial,97.5
AUS,NLD,2020,other_business,485.1
AUS,NLD,2020,telecom,84.7
AUS,NLD,2020,total_services,1324.0
AUS,NLD,2020,transport,181.4
AUS,NLD,2020,travel,252.1
AUS,NLD,2021,financial,129.7
AUS,NLD,2021,other_business,372.3
AUS,NLD,2021,telecom,116.3
AUS,NLD,2021,total_services,903.7
AUS,NLD,2021,transport,272.4
AUS,NLD,2021,travel,182.1
AUS,RUS,2019,financial,139.9
AUS,RUS,2019,other_business,536.9
AUS,RUS,2019,telecom,147.0
AUS,RUS,2019,total_services,1833.9
AUS,RUS,2019,transport,220.3
AUS,RUS,2019,travel,314.0
AUS,RUS,2020,financial,170.4
AUS,RUS,2020,other_business,626.5
AUS,RUS,2020,telecom,200.4
AUS,RUS,2020,total_services,2010.3
AUS,RUS,2020,transport,281.7
AUS,RUS,2020,travel,394.1
AUS,RUS,2021,financial,151.8
AUS,RUS,2021,other_business,693.5
AUS,RUS,2021,telecom,182.8
AUS,RUS,2021,total_services,1255.4
AUS,RUS,2021,transport,348.5
AUS,RUS,2021,travel,369.5
AUS,SGP,2019,financial,53.4
AUS,SGP,2019,other_business,146.4
AUS,SGP,2019,telecom,49.5
AUS,SGP,2019,total_services,497.8
AUS,SGP,2019,transport,57.4
AUS,SGP,2019,travel,100.9
AUS,SGP,2020,financial,42.4
AUS,SGP,2020,other_business,125.6
AUS,SGP,2020,telecom,42.9
AUS,SGP,2020,total_services,361.4
AUS,SGP,2020,transport,81.2
AUS,SGP,2020,travel,92.6
AUS,SGP,2021,financial,57.1
AUS,SGP,2021,other_business,152.1
AUS,SGP,2021,telecom,54.4
AUS,SGP,2021,total_services,449.5
AUS,SGP,2021,transport,73.4
AUS,SGP,2021,travel,83.9
AUS,USA,2019,financial,1972.0
AUS,USA,2019,other_business,5987.7
AUS,USA,2019,telecom,1906.8
AUS,USA,2019,total_services,16047.0
AUS,USA,2019,transport,3981.4
AUS,USA,2019,travel,4763.5
AUS,USA,2020,financial,2729.8
AUS,USA,2020,other_business,8575.5
AUS,USA,2020,telecom,1900.8
AUS,USA,2020,total_services,21230.1
AUS,USA,2020,transport,4644.4
AUS,USA,2020,travel,4739.4
AUS,USA,2021,financial,2272.4
AUS,USA,2021,other_business,8836.0
AUS,USA,2021,telecom,2390.8
AUS,USA,2021,total_services,19338.2
AUS,USA,2021,transport,3263.0
AUS,USA,2021,travel,5477.8
BEL,AUS,2019,financial,310.6
BEL,AUS,2019,other_business,1442.1
BEL,AUS,2019,telecom,237.9
BEL,AUS,2019,total_services,2705.1
BEL,AUS,2019,transport,454.0
BEL,AUS,2019,travel,544.4
BEL,AUS,2020,financial,276.5
BEL,AUS,2020,other_business,1051.4
BEL,AUS,2020,telecom,282.3
BEL,AUS,2020,total_services,2128.0
BEL,AUS,2020,transport,463.7
BEL,AUS,2020,travel,534.3
BEL,AUS,2021,financial,386.8
BEL,AUS,2021,other_business,1262.9
BEL,AUS,2021,telecom,260.4
BEL,AUS,2021,total_services,2208.1
BEL,AUS,2021,transport,477.0
BEL,AUS,2021,travel,561.8
BEL,BRA,2019,financial,334.2
BEL,BRA,2019,other_business,1315.7
BEL,BRA,2019,telecom,380.5
BEL,BRA,2019,total_services,2851.4
BEL,BRA,2019,transport,460.6
BEL,BRA,2019,travel,610.5
BEL,BRA,2020,financial,345.0
BEL,BRA,2020,other_business,1097.0
BEL,BRA,2020,telecom,353.2
BEL,BRA,2020,total_services,2119.5
BEL,BRA,2020,transport,602.5
BEL,BRA,2020,travel,603.9
BEL,BRA,2021,financial,279.1
BEL,BRA,2021,other_business,990.8
BEL,BRA,2021,telecom,319.2
BEL,BRA,2021,total_services,2296.9
BEL,BRA,2021,transport,501.2
BEL,BRA,2021,travel,523.0
BEL,CAN,2019,financial,435.0
BEL,CAN,2019,other_business,1594.0
BEL,CAN,2019,telecom,459.5
BEL,CAN,2019,total_services,3305.6
BEL,CAN,2019,transport,634.2
BEL,CAN,2019,travel,880.4
BEL,CAN,2020,financial,398.8
BEL,CAN,2020,other_business,1492.5
BEL,CAN,2020,telecom,375.5
BEL,CAN,2020,total_services,2771.4
BEL,CAN,2020,transport,473.9
BEL,CAN,2020,travel,741.2
BEL,CAN,2021,financial,490.2
BEL,CAN,2021,other_business,1225.1
BEL,CAN,2021,telecom,387.2
BEL,CAN,2021,total_services,3442.7
BEL,CAN,2021,transport,614.9
BEL,CAN,2021,travel,862.7
BEL,CHE,2019,financial,149.5
BEL,CHE,2019,other_business,641.1
BEL,CHE,2019,telecom,127.1
BEL,CHE,2019,total_services,1123.1
BEL,CHE,2019,transport,219.3
BEL,CHE,2019,travel,313.4
BEL,CHE,2020,financial,155.8
BEL,CHE,2020,other_business,475.1
BEL,CHE,2020,telecom,125.0
BEL,CHE,2020,total_services,1769.1
BEL,CHE,2020,transport,276.9
BEL,CHE,2020,travel,251.7
BEL,CHE,2021,financial,165.5
BEL,CHE,2021,other_business,609.0
BEL,CHE,2021,telecom,146.0
BEL,CHE,2021,total_services,1529.4
BEL,CHE,2021,transport,202.5
BEL,CHE,2021,travel,390.6
BEL,CHN,2019,financial,3019.6
BEL,CHN,2019,other_business,9576.7
BEL,CHN,2019,telecom,2483.5
BEL,CHN,2019,total_services,20505.9
BEL,CHN,2019,transport,5163.2
BEL,CHN,2019,travel,6032.9
BEL,CHN,2020,financial,3513.9
BEL,CHN,2020,other_business,9236.7
BEL,CHN,2020,telecom,2438.9
BEL,CHN,2020,total_services,22626.8
BEL,CHN,2020,transport,5932.4
BEL,CHN,2020,travel,7478.2
BEL,CHN,2021,financial,2357.0
BEL,CHN,2021,other_business,11319.8
BEL,CHN,2021,telecom,2738.9
BEL,CHN,2021,total_services,25644.6
BEL,CHN,2021,transport,4561.1
BEL,CHN,2021,travel,6060.1
BEL,DEU,2019,financial,724.4
BEL,DEU,2019,other_business,2309.0
BEL,DEU,2019,telecom,848.5
BEL,DEU,2019,total_services,7220.2
BEL,DEU,2019,transport,972.2
BEL,DEU,2019,travel,1297.5
BEL,DEU,2020,financial,780.6
BEL,DEU,2020,other_business,2597.4
BEL,DEU,2020,telecom,888.6
BEL,DEU,2020,total_services,6684.2
BEL,DEU,2020,transport,1308.1
BEL,DEU,2020,travel,2126.4
BEL,DEU,2021,financial,753.0
BEL,DEU,2021,other_business,3045.3
BEL,DEU,2021,telecom,561.0
BEL,DEU,2021,total_services,6820.1
BEL,DEU,2021,transport,1281.2
BEL,DEU,2021,travel,1807.6
BEL,ESP,2019,financial,276.0
BEL,ESP,2019,other_business,888.1
BEL,ESP,2019,telecom,248.4
BEL,ESP,2019,total_services,2263.4
BEL,ESP,2019,transport,517.4
BEL,ESP,2019,travel,558.1
BEL,ESP,2020,financial,258.9
BEL,ESP,2020,other_business,806.7
BEL,ESP,2020,telecom,259.8
BEL,ESP,2020,total_services,2099.3
BEL,ESP,2020,transport,483.5
BEL,ESP,2020,travel,508.9
BEL,ESP,2021,financial,349.1
BEL,ESP,2021,other_business,1061.2
BEL,ESP,2021,telecom,292.3
BEL,ESP,2021,total_services,2462.9
BEL,ESP,2021,transport,484.3
BEL,ESP,2021,travel,452.0
BEL,FRA,2019,financial,571.5
BEL,FRA,2019,other_business,2471.0
BEL,FRA,2019,telecom,494.0
BEL,FRA,2019,total_services,4847.1
BEL,FRA,2019,transport,828.6
BEL,FRA,2019,travel,1041.4
BEL,FRA,2020,financial,925.1
BEL,FRA,2020,other_business,2204.8
BEL,FRA,2020,telecom,583.8
BEL,FRA,2020,total_services,4385.0
BEL,FRA,2020,transport,899.4
BEL,FRA,2020,travel,1132.4
BEL,FRA,2021,financial,608.2
BEL,FRA,2021,other_business,2228.8
BEL,FRA,2021,telecom,498.8
BEL,FRA,2021,total_services,5812.2
BEL,FRA,2021,transport,874.7
BEL,FRA,2021,travel,1149.4
BEL,GBR,2019,financial,548.5
BEL,GBR,2019,other_business,1887.4
BEL,GBR,2019,telecom,616.3
BEL,GBR,2019,total_services,5339.1
BEL,GBR,2019,transport,1075.7
BEL,GBR,2019,travel,1378.8
BEL,GBR,2020,financial,633.9
BEL,GBR,2020,other_business,1433.5
BEL,GBR,2020,telecom,561.6
BEL,GBR,2020,total_services,5487.3
BEL,GBR,2020,transport,1092.5
BEL,GBR,2020,travel,1203.1
BEL,GBR,2021,financial,610.6
BEL,GBR,2021,other_business,1893.3
BEL,GBR,2021,telecom,474.3
BEL,GBR,2021,total_services,4985.9
BEL,GBR,2021,transport,1109.4
BEL,GBR,2021,travel,1366.3
BEL,HKG,2019,financial,117.0
BEL,HKG,2019,other_business,298.7
BEL,HKG,2019,telecom,63.0
BEL,HKG,2019,total_services,596.6
BEL,HKG,2019,transport,144.7
BEL,HKG,2019,travel,187.9
BEL,HKG,2020,financial,83.2
BEL,HKG,2020,other_business,226.5
BEL,HKG,2020,telecom,80.0
BEL,HKG,2020,total_services,731.8
BEL,HKG,2020,transport,130.6
BEL,HKG,2020,travel,142.4
BEL,HKG,2021,financial,92.5
BEL,HKG,2021,other_business,318.5
BEL,HKG,2021,telecom,89.0
BEL,HKG,2021,total_services,721.0
BEL,HKG,2021,transport,145.5
BEL,HKG,2021,travel,142.4
BEL,IND,2019,financial,698.0
BEL,IND,2019,other_business,1565.8
BEL,IND,2019,telecom,507.6
BEL,IND,2019,total_services,5573.7
BEL,IND,2019,transport,910.2
BEL,IND,2019,travel,1131.1
BEL,IND,2020,financial,776.6
BEL,IND,2020,other_business,1963.2
BEL,IND,2020,telecom,576.5
BEL,IND,2020,total_services,4106.0
BEL,IND,2020,transport,831.0
BEL,IND,2020,travel,1061.5
BEL,IND,2021,financial,924.4
BEL,IND,2021,other_business,1826.7
BEL,IND,2021,telecom,772.4
BEL,IND,2021,total_services,4451.4
BEL,IND,2021,transport,1168.1
BEL,IND,2021,travel,1151.5
BEL,IRL,2019,financial,94.5
BEL,IRL,2019,other_business,256.8
BEL,IRL,2019,telecom,81.9
BEL,IRL,2019,total_services,901.0
BEL,IRL,2019,transport,164.4
BEL,IRL,2019,travel,241.3
BEL,IRL,2020,financial,131.9
BEL,IRL,2020,other_business,297.5
BEL,IRL,2020,telecom,112.0
BEL,IRL,2020,total_services,1033.4
BEL,IRL,2020,transport,187.2
BEL,IRL,2020,travel,233.5
BEL,IRL,2021,financial,102.9
BEL,IRL,2021,other_business,381.6
BEL,IRL,2021,telecom,81.1
BEL,IRL,2021,total_services,885.0
BEL,IRL,2021,transport,178.9
BEL,IRL,2021,travel,246.3
BEL,ITA,2019,financial,335.3
BEL,ITA,2019,other_business,1048.7
BEL,ITA,2019,telecom,366.7
BEL,ITA,2019,total_services,3742.0
BEL,ITA,2019,transport,608.0
BEL,ITA,2019,travel,761.3
BEL,ITA,2020,financial,311.7
BEL,ITA,2020,other_business,1538.4
BEL,ITA,2020,telecom,300.8
BEL,ITA,2020,total_services,3097.6
BEL,ITA,2020,transport,532.4
BEL,ITA,2020,travel,736.3
BEL,ITA,2021,financial,334.8
BEL,ITA,2021,other_business,1246.1
BEL,ITA,2021,telecom,297.5
BEL,ITA,2021,total_services,3868.2
BEL,ITA,2021,transport,790.4
BEL,ITA,2021,travel,909.1
BEL,JPN,2019,financial,736.0
BEL,JPN,2019,other_business,3092.1
BEL,JPN,2019,telecom,678.3
BEL,JPN,2019,total_services,8129.2
BEL,JPN,2019,transport,1304.1
BEL,JPN,2019,travel,1507.7
BEL,JPN,2020,financial,947.4
BEL,JPN,2020,other_business,3117.9
BEL,JPN,2020,telecom,615.5
BEL,JPN,2020,total_services,5050.3
BEL,JPN,2020,transport,1198.6
BEL,JPN,2020,travel,1952.2
BEL,JPN,2021,financial,917.6
BEL,JPN,2021,other_business,2705.7
BEL,JPN,2021,telecom,845.7
BEL,JPN,2021,total_services,8152.5
BEL,JPN,2021,transport,1408.3
BEL,JPN,2021,travel,1451.2
BEL,KOR,2019,financial,422.4
BEL,KOR,2019,other_business,964.6
BEL,KOR,2019,telecom,306.1
BEL,KOR,2019,total_services,3213.6
BEL,KOR,2019,transport,518.8
BEL,KOR,2019,travel,838.4
BEL,KOR,2020,financial,282.2
BEL,KOR,2020,other_business,841.2
BEL,KOR,2020,telecom,316.1
BEL,KOR,2020,total_services,3264.2
BEL,KOR,2020,transport,582.3
BEL,KOR,2020,travel,627.5
BEL,KOR,2021,financial,377.9
BEL,KOR,2021,other_business,984.9
BEL,KOR,2021,telecom,323.0
BEL,KOR,2021,total_services,3213.6
BEL,KOR,2021,transport,693.8
BEL,KOR,2021,travel,622.7
BEL,NLD,2019,financial,203.2
BEL,NLD,2019,other_business,607.7
BEL,NLD,2019,telecom,204.3
BEL,NLD,2019,total_services,1506.3
BEL,NLD,2019,transport,305.0
BEL,NLD,2019,travel,395.0
BEL,NLD,2020,financial,190.2
BEL,NLD,2020,other_business,762.6
BEL,NLD,2020,telecom,192.7
BEL,NLD,2020,total_services,2012.0
BEL,NLD,2020,transport,341.3
BEL,NLD,2020,travel,437.3
BEL,NLD,2021,financial,175.4
BEL,NLD,2021,other_business,780.9
BEL,NLD,2021,telecom,197.8
BEL,NLD,2021,total_services,2139.8
BEL,NLD,2021,transport,387.0
BEL,NLD,2021,travel,416.3
BEL,RUS,2019,financial,598.9
BEL,RUS,2019,other_business,1503.9
BEL,RUS,2019,telecom,375.8
BEL,RUS,2019,total_services,2578.7
BEL,RUS,2019,transport,457.0
BEL,RUS,2019,travel,753.0
BEL,RUS,2020,financial,259.7
BEL,RUS,2020,other_business,1154.6
BEL,RUS,2020,telecom,265.4
BEL,RUS,2020,total_services,2868.4
BEL,RUS,2020,transport,396.5
BEL,RUS,2020,travel,596.6
BEL,RUS,2021,financial,402.8
BEL,RUS,2021,other_business,1081.1
BEL,RUS,2021,telecom,263.4
BEL,RUS,2021,total_services,3959.0
BEL,RUS,2021,transport,589.0
BEL,RUS,2021,travel,640.6
BEL,SGP,2019,financial,92.8
BEL,SGP,2019,other_business,296.8
BEL,SGP,2019,telecom,65.9
BEL,SGP,2019,total_services,661.5
BEL,SGP,2019,transport,174.7
BEL,SGP,2019,travel,147.6
BEL,SGP,2020,financial,113.8
BEL,SGP,2020,other_business,328.2
BEL,SGP,2020,telecom,82.1
BEL,SGP,2020,total_services,751.4
BEL,SGP,2020,transport,137.2
BEL,SGP,2020,travel,156.7
BEL,SGP,2021,financial,76.8
BEL,SGP,2021,other_business,298.4
BEL,SGP,2021,telecom,70.2
BEL,SGP,2021,total_services,879.3
BEL,SGP,2021,transport,127.8
BEL,SGP,2021,travel,251.1
BEL,USA,2019,financial,4048.1
BEL,USA,2019,other_business,11451.3
BEL,USA,2019,telecom,4068.4
BEL,USA,2019,total_services,28927.7
BEL,USA,2019,transport,8901.5
BEL,USA,2019,travel,9600.3
BEL,USA,2020,financial,4261.7
BEL,USA,2020,other_business,15170.3
BEL,USA,2020,telecom,3860.8
BEL,USA,2020,total_services,33889.8
BEL,USA,2020,transport,8298.6
BEL,USA,2020,travel,9773.5
BEL,USA,2021,financial,4130.4
BEL,USA,2021,other_business,13164.5
BEL,USA,2021,telecom,4412.5
BEL,USA,2021,total_services,35318.7
BEL,USA,2021,transport,6822.4
BEL,USA,2021,travel,7543.7
BRA,AUS,2019,financial,91.4
BRA,AUS,2019,other_business,267.5
BRA,AUS,2019,telecom,86.2
BRA,AUS,2019,total_services,760.8
BRA,AUS,2019,transport,135.3
BRA,AUS,2019,travel,187.7
BRA,AUS,2020,financial,95.3
BRA,AUS,2020,other_business,327.6
BRA,AUS,2020,telecom,90.8
BRA,AUS,2020,total_services,697.4
BRA,AUS,2020,transport,149.7
BRA,AUS,2020,travel,173.7
BRA,AUS,2021,financial,119.2
BRA,AUS,2021,other_business,278.1
BRA,AUS,2021,telecom,75.4
BRA,AUS,2021,total_services,714.3
BRA,AUS,2021,transport,146.9
BRA,AUS,2021,travel,167.4
BRA,BEL,2019,financial,34.2
BRA,BEL,2019,other_business,85.4
BRA,BEL,2019,telecom,26.5
BRA,BEL,2019,total_services,350.3
BRA,BEL,2019,transport,49.9
BRA,BEL,2019,travel,65.4
BRA,BEL,2020,financial,35.7
BRA,BEL,2020,other_business,103.3
BRA,BEL,2020,telecom,26.0
BRA,BEL,2020,total_services,234.0
BRA,BEL,2020,transport,45.8
BRA,BEL,2020,travel,41.6
BRA,BEL,2021,financial,30.7
BRA,BEL,2021,other_business,95.7
BRA,BEL,2021,telecom,30.7
BRA,BEL,2021,total_services,346.1
BRA,BEL,2021,transport,43.3
BRA,BEL,2021,travel,62.3
BRA,CAN,2019,financial,114.8
BRA,CAN,2019,other_business,430.7
BRA,CAN,2019,telecom,99.0
BRA,CAN,2019,total_services,1152.4
BRA,CAN,2019,transport,200.8
BRA,CAN,2019,travel,165.5
BRA,CAN,2020,financial,142.7
BRA,CAN,2020,other_business,412.2
BRA,CAN,2020,telecom,90.2
BRA,CAN,2020,total_services,906.0
BRA,CAN,2020,transport,173.7
BRA,CAN,2020,travel,245.6
BRA,CAN,2021,financial,98.2
BRA,CAN,2021,other_business,410.8
BRA,CAN,2021,telecom,97.3
BRA,CAN,2021,total_services,856.8
BRA,CAN,2021,transport,175.3
BRA,CAN,2021,travel,235.2
BRA,CHE,2019,financial,63.4
BRA,CHE,2019,other_business,123.0
BRA,CHE,2019,telecom,25.5
BRA,CHE,2019,total_services,346.7
BRA,CHE,2019,transport,73.9
BRA,CHE,2019,travel,79.8
BRA,CHE,2020,financial,48.6
BRA,CHE,2020,other_business,166.2
