MEASURE,REF_AREA,ACTIVITY,COUNTERPART_AREA,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE
EXGR_FNL,JPN,_T,OECD,USD,A,2022,192440.473
EXGR_FNL,KOR,_T,OECD,USD,A,2000,68436.815
EXGR_FNL,KOR,_T,OECD,USD,A,2001,58171.203
EXGR_FNL,KOR,_T,OECD,USD,A,2002,59940.903
EXGR_FNL,KOR,_T,OECD,USD,A,2003,63530.113
EXGR_FNL,KOR,_T,OECD,USD,A,2004,82124.907
EXGR_FNL,KOR,_T,OECD,USD,A,2005,84326.339
EXGR_FNL,KOR,_T,OECD,USD,A,2006,90199.355
EXGR_FNL,KOR,_T,OECD,USD,A,2007,95855.569
EXGR_FNL,KOR,_T,OECD,USD,A,2008,101197.558
EXGR_FNL,KOR,_T,OECD,USD,A,2009,81418.841
EXGR_FNL,KOR,_T,OECD,USD,A,2010,98250.272
EXGR_FNL,KOR,_T,OECD,USD,A,2011,119842.164
EXGR_FNL,KOR,_T,OECD,USD,A,2012,119598.604
EXGR_FNL,KOR,_T,OECD,USD,A,2013,120760.145
EXGR_FNL,KOR,_T,OECD,USD,A,2014,128584.3
EXGR_FNL,KOR,_T,OECD,USD,A,2015,115797.226
EXGR_FNL,KOR,_T,OECD,USD,A,2016,107502.478
EXGR_FNL,KOR,_T,OECD,USD,A,2017,114031.174
EXGR_FNL,KOR,_T,OECD,USD,A,2018,118181.13
EXGR_FNL,KOR,_T,OECD,USD,A,2019,112848.665
EXGR_FNL,KOR,_T,OECD,USD,A,2020,104532.178
EXGR_FNL,KOR,_T,OECD,USD,A,2021,127438.814
EXGR_FNL,KOR,_T,OECD,USD,A,2022,148354.645
EXGR_FNL,MYS,_T,OECD,USD,A,2000,24474.131
EXGR_FNL,MYS,_T,OECD,USD,A,2001,23983.795
EXGR_FNL,MYS,_T,OECD,USD,A,2002,25396.301
EXGR_FNL,MYS,_T,OECD,USD,A,2003,25158.93
EXGR_FNL,MYS,_T,OECD,USD,A,2004,28946.24
EXGR_FNL,MYS,_T,OECD,USD,A,2005,33201.264
EXGR_FNL,MYS,_T,OECD,USD,A,2006,36209.404
EXGR_FNL,MYS,_T,OECD,USD,A,2007,41441.668
EXGR_FNL,MYS,_T,OECD,USD,A,2008,44638.44
EXGR_FNL,MYS,_T,OECD,USD,A,2009,36608.201
EXGR_FNL,MYS,_T,OECD,USD,A,2010,42754.07
EXGR_FNL,MYS,_T,OECD,USD,A,2011,48763.171
EXGR_FNL,MYS,_T,OECD,USD,A,2012,45061.59
EXGR_FNL,MYS,_T,OECD,USD,A,2013,43301.656
EXGR_FNL,MYS,_T,OECD,USD,A,2014,43559.953
EXGR_FNL,MYS,_T,OECD,USD,A,2015,38884.072
EXGR_FNL,MYS,_T,OECD,USD,A,2016,40248.453
EXGR_FNL,MYS,_T,OECD,USD,A,2017,42205.309
EXGR_FNL,MYS,_T,OECD,USD,A,2018,45857.966
EXGR_FNL,MYS,_T,OECD,USD,A,2019,43495.185
EXGR_FNL,MYS,_T,OECD,USD,A,2020,35222.264
EXGR_FNL,MYS,_T,OECD,USD,A,2021,36629.684
EXGR_FNL,MYS,_T,OECD,USD,A,2022,43879.843
EXGR_FNL,PHL,_T,OECD,USD,A,2000,11166.568
EXGR_FNL,PHL,_T,OECD,USD,A,2001,10173.309
EXGR_FNL,PHL,_T,OECD,USD,A,2002,10401.604
EXGR_FNL,PHL,_T,OECD,USD,A,2003,10455.246
EXGR_FNL,PHL,_T,OECD,USD,A,2004,11274.367
EXGR_FNL,PHL,_T,OECD,USD,A,2005,11290.299
EXGR_FNL,PHL,_T,OECD,USD,A,2006,12420.672
EXGR_FNL,PHL,_T,OECD,USD,A,2007,14196.559
EXGR_FNL,PHL,_T,OECD,USD,A,2008,13262.113
EXGR_FNL,PHL,_T,OECD,USD,A,2009,12733.443
EXGR_FNL,PHL,_T,OECD,USD,A,2010,15974.345
EXGR_FNL,PHL,_T,OECD,USD,A,2011,16165.378
EXGR_FNL,PHL,_T,OECD,USD,A,2012,16568.13
EXGR_FNL,PHL,_T,OECD,USD,A,2013,16488.418
EXGR_FNL,PHL,_T,OECD,USD,A,2014,17773.002
EXGR_FNL,PHL,_T,OECD,USD,A,2015,17656.345
EXGR_FNL,PHL,_T,OECD,USD,A,2016,17865.901
EXGR_FNL,PHL,_T,OECD,USD,A,2017,21177.16
EXGR_FNL,PHL,_T,OECD,USD,A,2018,22669.938
EXGR_FNL,PHL,_T,OECD,USD,A,2019,23106.704
EXGR_FNL,PHL,_T,OECD,USD,A,2020,16772.125
EXGR_FNL,PHL,_T,OECD,USD,A,2021,18360.346
EXGR_FNL,PHL,_T,OECD,USD,A,2022,22886.649
EXGR_FNL,SGP,_T,OECD,USD,A,2000,26925.035
EXGR_FNL,SGP,_T,OECD,USD,A,2001,24337.553
EXGR_FNL,SGP,_T,OECD,USD,A,2002,24774.138
EXGR_FNL,SGP,_T,OECD,USD,A,2003,25118.09
EXGR_FNL,SGP,_T,OECD,USD,A,2004,31370.188
EXGR_FNL,SGP,_T,OECD,USD,A,2005,38848.866
EXGR_FNL,SGP,_T,OECD,USD,A,2006,44009.528
EXGR_FNL,SGP,_T,OECD,USD,A,2007,43446.309
EXGR_FNL,SGP,_T,OECD,USD,A,2008,44056.809
EXGR_FNL,SGP,_T,OECD,USD,A,2009,40019.106
EXGR_FNL,SGP,_T,OECD,USD,A,2010,48437.316
EXGR_FNL,SGP,_T,OECD,USD,A,2011,58015.593
EXGR_FNL,SGP,_T,OECD,USD,A,2012,60760.263
EXGR_FNL,SGP,_T,OECD,USD,A,2013,54349.252
EXGR_FNL,SGP,_T,OECD,USD,A,2014,56570.999
EXGR_FNL,SGP,_T,OECD,USD,A,2015,62660.6
EXGR_FNL,SGP,_T,OECD,USD,A,2016,62875.823
EXGR_FNL,SGP,_T,OECD,USD,A,2017,73374.209
EXGR_FNL,SGP,_T,OECD,USD,A,2018,78491.123
EXGR_FNL,SGP,_T,OECD,USD,A,2019,73183.558
EXGR_FNL,SGP,_T,OECD,USD,A,2020,71370.841
EXGR_FNL,SGP,_T,OECD,USD,A,2021,84808.578
EXGR_FNL,SGP,_T,OECD,USD,A,2022,94965.714
EXGR_FNL,THA,_T,OECD,USD,A,2000,32458.377
EXGR_FNL,THA,_T,OECD,USD,A,2001,29233.066
EXGR_FNL,THA,_T,OECD,USD,A,2002,30251.49
EXGR_FNL,THA,_T,OECD,USD,A,2003,31710.758
EXGR_FNL,THA,_T,OECD,USD,A,2004,37163.584
EXGR_FNL,THA,_T,OECD,USD,A,2005,41113.43
EXGR_FNL,THA,_T,OECD,USD,A,2006,46536.773
EXGR_FNL,THA,_T,OECD,USD,A,2007,53164.678
EXGR_FNL,THA,_T,OECD,USD,A,2008,57708.644
EXGR_FNL,THA,_T,OECD,USD,A,2009,49573.626
EXGR_FNL,THA,_T,OECD,USD,A,2010,59665.201
EXGR_FNL,THA,_T,OECD,USD,A,2011,67590.444
EXGR_FNL,THA,_T,OECD,USD,A,2012,70613.815
EXGR_FNL,THA,_T,OECD,USD,A,2013,74254.289
EXGR_FNL,THA,_T,OECD,USD,A,2014,71683.833
EXGR_FNL,THA,_T,OECD,USD,A,2015,72118.595
EXGR_FNL,THA,_T,OECD,USD,A,2016,74139.68
EXGR_FNL,THA,_T,OECD,USD,A,2017,84132.503
EXGR_FNL,THA,_T,OECD,USD,A,2018,89665.948
EXGR_FNL,THA,_T,OECD,USD,A,2019,87553.067
EXGR_FNL,THA,_T,OECD,USD,A,2020,62421.665
EXGR_FNL,THA,_T,OECD,USD,A,2021,66998.43
EXGR_FNL,THA,_T,OECD,USD,A,2022,81624.202
EXGR_FNL,VNM,_T,OECD,USD,A,2000,6443.959
EXGR_FNL,VNM,_T,OECD,USD,A,2001,6782.651
EXGR_FNL,VNM,_T,OECD,USD,A,2002,7430.728
EXGR_FNL,VNM,_T,OECD,USD,A,2003,8777.542
EXGR_FNL,VNM,_T,OECD,USD,A,2004,10596.663
EXGR_FNL,VNM,_T,OECD,USD,A,2005,12313.106
EXGR_FNL,VNM,_T,OECD,USD,A,2006,14726.216
EXGR_FNL,VNM,_T,OECD,USD,A,2007,18269.378
EXGR_FNL,VNM,_T,OECD,USD,A,2008,23056.999
EXGR_FNL,VNM,_T,OECD,USD,A,2009,22228.845
EXGR_FNL,VNM,_T,OECD,USD,A,2010,27719.398
EXGR_FNL,VNM,_T,OECD,USD,A,2011,35167.993
EXGR_FNL,VNM,_T,OECD,USD,A,2012,38172.622
EXGR_FNL,VNM,_T,OECD,USD,A,2013,44808.665
EXGR_FNL,VNM,_T,OECD,USD,A,2014,52582.209
EXGR_FNL,VNM,_T,OECD,USD,A,2015,59399.236
EXGR_FNL,VNM,_T,OECD,USD,A,2016,66307.316
EXGR_FNL,VNM,_T,OECD,USD,A,2017,80002.888
EXGR_FNL,VNM,_T,OECD,USD,A,2018,87976.411
EXGR_FNL,VNM,_T,OECD,USD,A,2019,98194.681
EXGR_FNL,VNM,_T,OECD,USD,A,2020,99939.259
EXGR_FNL,VNM,_T,OECD,USD,A,2021,112301.38
EXGR_FNL,VNM,_T,OECD,USD,A,2022,138607.83
